Outcome,,Proportion of extension services that go to crops primarily produced by women,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
Outcome,,Numbers of female/male extension workers,SIDA,,Natural Resource Management,Women's economic empowerment,,,,,,,,,,,,,not available,,,,,,,,,Data collection likely needed,2010,,,,,,
No level,Indicator 41,Recovery rate,ECHO (European Civil Protection and Humanitarian Aid Operations),,Nutrition,,,Rehabilitation of children suffering of Moderate Acute Under-nutrition (MAM) through Community Based Management of Acute Malnutrition (CMAM) approach,"Percentage of children discharges, who have recovered",,,This value should remain stable or increase.,,,,,,,not available,,,,Target value should be 75% or higher (Sphere standard)  Baseline value < or = Target value in the eSF,,,,,,,,,,,,
No level,Indicator 44,Proportion of severely acutely undernourished children screened and admitted to therapeutic treatment programmes,ECHO (European Civil Protection and Humanitarian Aid Operations),,Nutrition,,,Treatment coverage,Percentage of SAM children screened and admitted,,,This value should increase.,,,,,,,not available,,,,Baseline value < Target value in the eSF,,,,,,,,,,,,
No level,Indicator 45,Proportion of moderately acutely undernourished children screened and enrolled in MAM treatment programmes,ECHO (European Civil Protection and Humanitarian Aid Operations),,Nutrition,,,Treatment coverage,Percentage of MAM children screened and enrolled,,,This value should increase.,,,,,,,not available,,,,Baseline value < Target value in the eSF,,,,,,,,,,,,
No level,Indicator 46,Proportion of children 0-5 months of age who are fed exclusively with breast milk,ECHO (European Civil Protection and Humanitarian Aid Operations),,Nutrition,,,"Promotion of improved care and feeding practices (mothers and children) breastfeeding, complementary feeding, maternal nutrition",Percentage of infants 0-5 months exclusively breastfed,,,This value should increase.,,,,,,,not available,,,,Baseline value < Target value in the eSF,,,,,,,,,,,,
No level,Indicator 47,Proportion of care givers having attended IYCF (Infant & Young Child Feeding) counselling sessions,ECHO (European Civil Protection and Humanitarian Aid Operations),,Nutrition,,,"Promotion of improved care and feeding practices (mothers and children) breastfeeding, complementary feeding, maternal nutrition",Percentage of care givers attending IYCF sessions,,,This value should increase.,,,,,,,not available,,,,Baseline value < Target value in the eSF,,,,,,,,,,,,
No level,Indicator 9 ,Proportion of severely acutely undernourished children identified and admitted to therapeutic treatment programmes,ECHO (European Civil Protection and Humanitarian Aid Operations),,Nutrition,,,"Active case finding, community mobilisation and referral",Percentage of SAM children screened and admitted,,,This value should increase.,,,,,,,not available,,,,Baseline value < Target value in the eSF,,,,,,,,,,,,
No level,,Sewer blockages,Australian Aid,,"Water, Sanitation, and Hygiene (WASH)",,,Sewerage network reliability and efficiency,Sewer blockages per 100 km of sewer main,,,,,,,,,,not available,,,,,,,,,,,,,,,,
No level,,Effluent reuse,Australian Aid,,"Water, Sanitation, and Hygiene (WASH)",,,Sewerage network reliability and efficiency,Volume reused means volume of sewage effluent reused. Volume of effluent reused means reuse undertaken in accordance with EPA published guidelines or exempted from EPA licensing on the basis of being recognised as a legitimate reuse activity.,,Volume produced Volume reused,,,,,,,,not available,,,,,,,,,,See earlier EPA comments,,,,,,
No level,,Water supply reliability complaints,Australian Aid,,"Water, Sanitation, and Hygiene (WASH)",,,,Complaints as percentage of customers,,,,,,,,,,not available,,,,,,,,,,Complaints as percentage of customers,,,,,,
No level,,Volume of sewage spilt from emergency relief structures (ERS) and pumping stations (Ml),Australian Aid,,"Water, Sanitation, and Hygiene (WASH)",,,,As per EPA requirements,,BlockAge Hydraulic Extreme wet weather System failure,,,,,,,,not available,,,,,,,,,,See earlier EPA comments,,,,,,
